Height
3.5
5
4.5
5
8
4.5
4
4
3.5
5
5
4
5
3
4
4.5
5
4.5
5
5
4
6
7
7
7
4
6
6
5
5
5
5
5
5
5
5
6
8
4
4
4
4.5
4.5
4.5
4.5
4.5
4.5
3.5
4.5
5
5
4.5
4.5
4.5
4.5
5
5
5
4.5
2
5
5
4.5
4.5
5
5
4.5
4.5
4.5
5
4.5
5
5
5
5
5
5
5
5
5
5
5
5
4
6
6
6
10
10
10
4.5
4
5
4.5
5
5
4
5
5
5
13
8
6
6
5
6
6
4
7
7
6
6
6
6
7
6
7
4
14
14
14
14
14
14
4
4.5
6
10
10
6
10
6
6
15
9
6
16
6
5.5
6.5
8
13
9
14
14
4.5
5
4.5
4.5
1
15
12
5
12
12
12
12
13
6
5
5
5
7
7
7
7
7
11
5
15
12
8
12
14
3
3
3
3
3.5
3.5
3
3
3
3
3
3
3
3
3
3
3
5
4
4
4
4
4
4
4
15
8
8
10
8
9
8
8
10
10
14
14
4
4
15
8
11
4
3.5
4
5
6
6.5
5
7
6
6.5
7
6.5
6.5
6.5
6.5
6.5
7
6
4
5
6
7
7
4.5
5
7
4
3.5
7
6
7
7
7
7
7
6
6
6
6
7
7
7
7
8
6
6
8
8
8
8
8
8
5
7
5
6
6
6
7
6
6
6
6
6
6
6
7
6
6
7
6
8
7
5
6
6
6
5
12
12
12
8
8
8
6
6
6
6
6
6
6
6
6
6
6
6
8
6
4
15
15
15
8
15
8
8
4
4
4
4
4
4
4
4
4
4
4
10
10
12
18
8
8
8
6
4
6
8
12
10
4
5
6
8
4
6
8
8
5
8
8
6
8
6
6
8
6
8
8
8
6
8
6
6.7
6
5
5
5
5
5
5
4
4
4
4
4
4
4
12
18
18
14
20
20
20
20
20
20
20
4
8
8
6
6
5
4
5
4
5
5
12
12
3.5
5
6
6
6
6
5
5
5
6
8
6
8
2.5
15
10
10
10
14
14
10
10
18
6
5
4
5
5
5
5
5
5
5
4
4
4
4
4
4
5
5
5
5
5
5
6
5
8
8
8
12
12
12
12
12
12
12
12
12
12
12
5
12
20
10
10
6
5
4
4
8
10
8
6
6
5.5
6
4.5
4.5
5
5
5
4
4
6
11
4
4.5
4.5
4
1
6
5
6
4.5
4
4.5
4
5
5
4
4.5
4
5
4
6
4
4
4
5
4.5
4
4
4
4
4.5
4
4
4
3
4
5
4
5
6
6
6
6.5
6.5
4
6
4.5
6
7
6
7
8
6
6
3
7
7
8
8
9
6
6
4
6
6
7
7
10
12
8
6
6
6
7
