Names;Count
Celtis australis;1028
Aesculus hippocastanum;581
Carpinus betulus;536
Tilia cordata;509
Platanus x hispanica;502
Tilia x europaea;471
Acer campestre;458
Cupressus;399
Sophora japonica;376
Prunus cerasifera;350
Pinus nigra;335
Liriodendron tulipifera;301
Parrotia persica;272
Quercus robur;272
Robinia pseudoacacia;269
Cedrus deodara;246
Platanus x acerifolia 'Bloodgood';220
