Neighborhood,Celtis australis,Aesculus hippocastanum,Carpinus betulus,Tilia cordata,Platanus x hispanica,Others
ARGENTARIO,13.4361233480176,1.98237885462555,3.9647577092511,1.10132158590308,2.6431718061674,76.8722466960353
BONDONE,0.342465753424657,7.19178082191781,1.02739726027397,3.08219178082192,0.684931506849315,87.6712328767123
CENTRO STORICO PIEDICASTELLO,8.16464237516869,3.07017543859649,5.36437246963563,1.85560053981107,6.47773279352227,75.0674763832659
GARDOLO,12.7801332525742,0.242277407631738,3.21017565112053,13.0829800121139,10.2362204724409,60.4482132041187
MATTARELLO,9.46969696969697,0.378787878787879,4.92424242424242,2.27272727272727,2.27272727272727,80.6818181818182
MEANO,4.36893203883495,0,0.970873786407767,0.485436893203883,4.36893203883495,89.8058252427184
OLTREFERSINA,12.6530612244898,1.26159554730983,4.67532467532468,4.30426716141002,1.15027829313544,75.9554730983303
POVO,11.1111111111111,6.87830687830688,0.529100529100529,0.529100529100529,1.05820105820106,79.8941798941799
RAVINA-ROMAGNANO,4.70219435736677,0.940438871473354,1.56739811912226,10.6583072100313,7.21003134796238,74.9216300940439
S.GIUSEPPE-S.CHIARA,2.74470899470899,13.3928571428571,4.06746031746032,1.02513227513228,1.7526455026455,77.0171957671958
SARDAGNA,0,0,0,0,0,100
VILLAZZANO,4.56730769230769,0,7.93269230769231,8.41346153846154,0.721153846153846,78.3653846153846
